| model                                          |                   test |      t/s (total) |        t/s (req) |     peak t/s |   peak t/s (req) |             ttfr (ms) |          est_ppt (ms) |         e2e_ttft (ms) |
|:-----------------------------------------------|-----------------------:|-----------------:|-----------------:|-------------:|-----------------:|----------------------:|----------------------:|----------------------:|
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |            pp2048 (c1) |  1657.96 ± 35.41 |  1657.96 ± 35.41 |              |                  |       1241.64 ± 26.00 |       1235.81 ± 26.00 |       1241.64 ± 26.00 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |             tg128 (c1) |     21.67 ± 0.66 |     21.67 ± 0.66 | 25.33 ± 0.47 |     25.33 ± 0.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |            pp2048 (c2) |   1930.94 ± 2.74 |    968.30 ± 1.39 |              |                  |        2120.88 ± 3.04 |        2115.04 ± 3.04 |        2120.88 ± 3.04 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |             tg128 (c2) |     36.98 ± 1.23 |     18.67 ± 0.53 | 43.00 ± 0.82 |     22.17 ± 0.37 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |            pp2048 (c5) |   706.08 ± 18.18 |  479.74 ± 234.99 |              |                  |     6065.27 ± 4321.60 |     6059.43 ± 4321.60 |     6065.27 ± 4321.60 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |             tg128 (c5) |     35.68 ± 0.58 |     14.57 ± 4.14 | 68.67 ± 1.70 |     19.13 ± 3.52 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |           pp2048 (c10) |   702.31 ± 10.12 |  300.59 ± 247.11 |              |                  |    13771.62 ± 9436.75 |    13765.78 ± 9436.75 |    13771.62 ± 9436.75 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |            tg128 (c10) |     38.12 ± 0.36 |     12.40 ± 2.62 | 66.33 ± 2.36 |     17.67 ± 2.01 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_pp @ d4096 (c1) |  1913.94 ± 21.27 |  1913.94 ± 21.27 |              |                  |       2146.20 ± 23.97 |       2140.36 ± 23.97 |       2146.20 ± 23.97 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_tg @ d4096 (c1) |     22.57 ± 0.79 |     22.57 ± 0.79 | 26.67 ± 0.47 |     26.67 ± 0.47 |                       |                       |                       |
